driver_id,username,first_name,last_name,email,phone_number,driver_license,city_id,license_plate,password
1,aditya10,Aditya,Nasyiah,adityanasyiah@yahoo.com,+62 (84) 466 9495,581-45-5234,3171,E 4791 GQ,q6$%A)iL&B
2,kamila19,Kamila,Halim,kamilahalim@gmail.com,+62 (84) 466 9496,217-20-3458,3175,M 0714 QPL,c8L#*U_J!j
3,fitriani1,Fitriani,Prabowo,fitrianiprabowo@yahoo.com,(0585) 055 6265,140-56-0545,3173,J 0281 ZXN,^M2w3ARy+h
4,ismail23,Ismail,Kusmawati,ismailkusmawati@yahoo.com,(0585) 055 6266,386-07-3686,3171,T 7871 KZB,z6Qi4sgn$S
5,maryadi28,Maryadi,Kusmawati,maryadikusmawati@yahoo.com,(0585) 055 6267,458-24-4836,3171,C 6987 ZJ,&Tw6SSKb7u
6,salsabila12,Salsabila,Rajasa,salsabilarajasa@hotmail.com,873186901,757-69-2908,3172,C 357 MV,Ku(XF6EhGj
7,garang10,Garang,Wacana,garangwacana@hotmail.com,873186901,231-90-9180,3175,H 246 NXZ,*(_9M4ul*q
8,alambana30,Alambana,Winarsih,alambanawinarsih@yahoo.com,+62 (888) 591-3055,065-87-9722,3171,N 7954 SQL,%k5R&Rus^^
9,kuncara3,Kuncara,Budiman,kuncarabudiman@hotmail.com,+62 (27) 590 5671,143-75-7638,3174,DP 421 ENR,$0AHwUll*H
10,laila29,Laila,Usamah,lailausamah@gmail.com,+62 (27) 590 5672,466-69-9823,3174,S 4901 GOT,&*UE7Ipr1E
12,mutia6,Mutia,Rahayu,mutiarahayu@yahoo.com,+62 (954) 556-3886,556-21-9973,3204,Q 526 AJI,x&rp4J%ruF
13,galang10,Galang,Mandasari,galangmandasari@hotmail.com,(018) 859-5582,698-54-5158,3204,O 6864 NEB,Dk1PfPex*e
14,ismail29,Ismail,Sihotang,ismailsihotang@gmail.com,(0052) 373 0860,258-90-3780,3204,U 189 CY,)5BNz^5a4g
18,edi17,Edi,Nasyidah,edinasyidah@yahoo.com,(0052) 373 0861,764-34-8847,3273,BO 838 QAF,rL#+XMjm(5
20,victoria29,Victoria,Zulkarnain,victoriazulkarnain@hotmail.com,(014) 503 8808,686-85-8140,3273,D 152 YW,l95FnrQH#B
21,jarwa20,Jarwa,Fujiati,jarwafujiati@yahoo.com,(014) 503 8809,329-70-6070,3322,F 1117 UBK,_iHTRtk#x4
23,asmianto17,Asmianto,Permadi,asmiantopermadi@hotmail.com,(0516) 475 8166,846-76-0706,3322,K 8888 TKH,(1FpPnOz#a
25,nasab24,Nasab,Laksita,nasablaksita@gmail.com,087 826 3415,661-08-9489,3322,TF 239 SU,_OFS6hTo3h
26,unggul23,Unggul,Hidayanto,unggulhidayanto@gmail.com,+62 (025) 030-4745,795-96-1828,3322,AP 4590 ZXT,!_MK9F6b2K
27,salman22,Salman,Wasita,salmanwasita@hotmail.com,+62 (050) 413-8354,760-19-8679,3322,C 3113 IZJ,y^0bEpO60D
28,kasim18,Kasim,Sitorus,kasimsitorus@gmail.com,(0745) 524 1850,428-02-8217,3374,UN 337 YAQ,kvebfRIy#9
31,paiman26,Paiman,Anggraini,paimananggraini@yahoo.com,+62 (06) 142 2196,039-50-9306,3578,E 8127 GW,0(69N1dj@I
33,tasnim23,Tasnim,Napitupulu,tasnimnapitupulu@hotmail.com,+62 (0172) 422 8620,551-11-0170,3578,E 583 TTR,%8hL*Mrezj
35,mujur19,Mujur,Hartati,mujurhartati@yahoo.com,(0008) 181-4717,611-08-1629,3578,VW 2648 QJ,(qQH9#Vk_1
37,jumari7,Jumari,Pranowo,jumaripranowo@yahoo.com,+62 (756) 308-0819,173-18-5839,3578,CH 890 PWG,$29%PTyv2*
38,dimas20,Dimas,Winarsih,dimaswinarsih@yahoo.com,+62 (088) 801-3128,775-60-7122,3578,X 4131 TW,AX26DOQv)3
40,tirtayasa28,Tirtayasa,Narpati,tirtayasanarpati@hotmail.com,+62 (371) 105 0499,208-85-5374,3578,OL 794 XB,w0$Lysvl&Y
41,marsudi14,Marsudi,Saptono,marsudisaptono@hotmail.com,(042) 704 8999,630-60-2828,5171,DM 274 IPC,+_r@H8KtwE
42,maryanto3,Maryanto,Tampubolon,maryantotampubolon@hotmail.com,(017) 478 0433,677-03-3166,5171,YV 743 BT,E)I3HZivfX
45,hendra24,Hendra,Rajata,hendrarajata@hotmail.com,+62 (842) 378 3526,186-32-5062,5171,Z 289 ZY,87dPRRNk&Q
46,soleh9,Soleh,Ardianto,solehardianto@hotmail.com,+62 (842) 378 3527,775-23-8249,5171,OS 7076 ZS,G@1FC6Ig&E
49,yono10,Yono,Hariyah,yonohariyah@hotmail.com,+62 (842) 378 3528,427-86-6874,5171,YY 515 RHH,8$5BQG4kFd
