user_id,username,first_name,last_name,email,phone_number,address,city_id,coordinate,password
1,aslijan20,Aslijan,Kuswoyo,aslijankuswoyo@hotmail.com,086 071 8018,"Jl. Raya Kebayoran Lama No. 123, Jakarta Selatan",3171,"-6.258887, 106.787042",+6l*5FWb+h
2,nyoman17,Nyoman,Oktaviani,nyomanoktaviani@yahoo.com,+62 (0991) 481-8636,"Jl. Kapuk Kamal Raya No. 88, Jakarta Utara",3175,"-6.112587, 106.758431",)WPjOeLH(0
3,banara20,Banara,Nurdiyanti,banaranurdiyanti@gmail.com,+62 (0754) 293 7430,"Jl. Sudirman No. 123, Jakarta Pusat",3173,"-6.208763, 106.817444",!8HbBavJ7q
4,teddy6,Teddy,Rajata,teddyrajata@hotmail.com,(091) 257-6138,"Jl. Jend. Gatot Subroto No. 123, Jakarta Selatan",3171,"-6.220214, 106.809417",I!9R3H#zi7
5,nasim23,Nasim,Firmansyah,nasimfirmansyah@hotmail.com,+62 (93) 466 7679,"Jl. Fatmawati No. 123, Jakarta Selatan",3171,"-6.284390, 106.794300",R0AFTutV(2
6,karya21,Karya,Najmudin,karyanajmudin@gmail.com,(091) 257-6133,"Jl. MT. Haryono No. 123, Jakarta Timur",3172,"-6.245023, 106.862065",#5OVkwHxq8
7,maryanto17,Maryanto,Uwais,maryantouwais@hotmail.com,(018) 600 0266,"Jl. Pluit Selatan Raya No. 123, Jakarta Utara",3175,"-6.131120, 106.807490",+z20Hsby##
8,cawuk15,Cawuk,Waskita,cawukwaskita@hotmail.com,+62 (0072) 083 7689,"Jl. Gatot Subroto No. 123, Jakarta Selatan",3171,"-6.238080, 106.821282",&3N8dKe!__
9,garda18,Garda,Hutasoit,gardahutasoit@gmail.com,+62 (0155) 083 2243,"Jl. S. Parman No. 123, Jakarta Barat",3174,"-6.186376, 106.795367",$3BbJCLg7h
10,latif11,Latif,Hakim,latifhakim@yahoo.com,+62 (0241) 510 8488,"Jl. Mangga Besar No. 123, Jakarta Barat",3174,"-6.147147, 106.823676",%7Yq2fewDn
11,suci18,Suci,Iswahyudi,suciiswahyudi@hotmail.com,+62 (62) 194 0115,Jl. Cihampelas No. 123,3204,"-6.897557, 107.610226",T+yfIM3s%8
12,fathonah7,Fathonah,Permadi,fathonahpermadi@hotmail.com,(018) 603 0266,Jl. Setiabudhi No. 56,3204,"-6.868983, 107.602405",(13GzXSdbL
13,puti25,Puti,Maryadi,putimaryadi@gmail.com,(018) 603 0263,Jl. Sersan Bajuri No. 124,3204,"-6.864326, 107.607601",%^7IjvaoI%
14,mujur3,Mujur,Hidayanto,mujurhidayanto@hotmail.com,(0703) 469 8585,Jl. Cimanuk No. 67,3204,"-6.917002, 107.600143",%S09XX7kTI
15,prayitna2,Prayitna,Haryanti,prayitnaharyanti@yahoo.com,+62 (0071) 050-0326,Jl. Rancakendal Luhur No. 17,3204,"-6.903232, 107.652783",n^0Qoho%iG
16,mustika28,Mustika,Yulianti,mustikayulianti@yahoo.com,(065) 360-1889,Jl. Bukit Indah No. 89,3204,"-6.873902, 107.594310",74D9PglD^K
17,bakiman5,Bakiman,Rajasa,bakimanrajasa@gmail.com,+62 (045) 978 5988,Jl. Buahbatu No. 42,3273,"-6.949670, 107.637645",+0vXfpG1@7
18,liman25,Liman,Laksmiwati,limanlaksmiwati@gmail.com,(0565) 863 0840,Jl. Pajajaran No. 21,3273,"-6.908736, 107.607350",#)CG+f@i3o
19,tasdik14,Tasdik,Wahyuni,tasdikwahyuni@hotmail.com,+62 (026) 605 8943,Jl. Hegarmanah No. 78,3273,"-6.867323, 107.598510",!0lHbfQpwA
20,galuh13,Galuh,Budiman,galuhbudiman@yahoo.com,+62 (009) 638 2669,Jl. Tamansari No. 44,3273,"-6.893886, 107.610152",u$^83Pkc+x
21,jagaraga1,Jagaraga,Gunarto,jagaragagunarto@yahoo.com,(060) 987-6893,"Jl. Raya Semarang-Solo, Kedungpane, Ngaliyan",3322,"-7.0448744, 110.4006874",$6)8jSi&fT
22,muhammad9,Muhammad,Yolanda,muhammadyolanda@yahoo.com,+62 (0642) 089-8096,"Jl. Godean, Sambirejo, Gayamsari",3322,"-7.0201217, 110.4421098",F2SkAWd9@P
23,karsana18,Karsana,Novitasari,karsananovitasari@yahoo.com,+62 (031) 376 9373,"Jl. Kaliurang KM 7,5, Sleman",3322,"-7.7260498, 110.3614266",$1UVILNd58
24,zamira4,Zamira,Mardhiyah,zamiramardhiyah@hotmail.com,+62 (47) 100-6946,"Jl. Taman Menteri Supeno, Miroto, Pedurungan",3322,"-7.0343369, 110.4029236",H#4BULk0Gn
